Project,Key,Summary,Issue Type,Status,Priority,Resolution,Assignee,Reporter,Created,Last Viewed,Updated,Resolved,Affects Version/s,Fix Version/s,Component/s,Due Date,Votes,Watchers,Images,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Sub-Tasks,Linked Issues,Environment,Description,Security Level,Progress,Σ Progress,Σ Time Spent,Σ Remaining Estimate,Σ Original Estimate,Labels,AccelAero User Id,Zendesk Application Link ticket Reference,Airline,Zendesk Application Link ticket Reference.1,Browser,Browser Version,Support Category,Chargeability,Costing status,Approver,Configurations,Estimated Delivery Date,Requesting Client
AccelAero Reservations,AARESAA-518,AARESAA-431 PNL/ADL Manual sending,SubTask - Task,Closed,Critical,Fixed,QACOMPLETED,XEMP -Nuwan Bandara,2008-07-11 04:25:00,,2008-10-10 08:56:00,2008-10-10 08:56:00,,AA-M8-001.0,,,0.0,0.0,,,,,,,,,"PNL/ADL Manual sending: - 
Mail id Selection should include any email addresses defined against the airport.",Default,,,,,,,,,,,,,Product Enhancement,,,,,,IA - Jupiter Airlines
AccelAero Reservations,AARESAA-2472,AARESAA-2450 PNL,SubTask - Change Request,Closed,Major,Fixed,QACOMPLETED,Thushara Fernando,2009-07-12 07:11:00,,2012-01-06 20:23:00,2009-08-19 10:28:00,,AA-G9-011.0,,,0.0,0.0,_thumb_10571.png _thumb_10590.png _thumb_10565.png ,,,,,,,,Add the selected meal code as a SSR code to the PNL/ADLS,Default,,,,,,,,,,,,,Customer Specific Customization,,,,,,G9 - Air Arabia
AccelAero Reservations,AARESAA-1692,AARESAA-1538 PNL/ADL test findings - 25/Mar/2009,SubTask - Bug,Closed,Blocker,Fixed,QACOMPLETED,XEMP-Mohamed Nasly,2009-03-25 18:45:00,,2012-01-06 20:22:00,2009-04-05 06:47:00,,AA-G9-008.0,,,0.0,0.0,,,,,,,,,"PNL
G9146/11JUL JED PART1
-SHJ12Y
1DHONI/MAHENDRASINGHMR-A2 .L/17174146
1JAYASURIYA/SANATHMR .L/17174143 .R/RQST HK1 1A
1JAYAWARDENA/MAHELAMR-A2
1KUMARA/SAMANMS .L/17174149 .R/1INF ROHAN
2MENDIS/ANILMR/HARSHAMR .L/17174145 .R/RQST HK2 10B10A
1MIANDAD/JAVEDMR .L/17174150 .O/G9115Y12MCT
1PERERA/SAMANMR .L/17174142
2PERERA/NIMALIMS/SUNILMR .L/17174144
1PONTING/RICKYMR-B2 .L/17174147 .R/RQST HK1 10F
1VITORY/DANIELMR-B2 .R/RQST HK1 10E
ENDPNL

Name change - NOT OK (Wrong group code, non name changed passengers also included)

ADL
G9146/11JUL JED PART1
-SHJ12Y
ADD
1DHONI/MAHENDRASINGHMR .L/17174146
1JAYASURIYA/SANATHMR .L/17174146
DEL
1DHONI/MAHENDRASINGHMR-2 .L/17174146
1JAYAWARDENA/MAHELAMR-2 .L/17174146
ENDADL

Add segment, after name change - NOT OK (new group code generated)

ADL
G9146/11JUL JED PART1
-SHJ12Y
CHG
1DHONI/MAHENDRASINGHMR-C2 .L/17174146 .O/G9103Y12BAH
1JAYASURIYA/SANATHMR-C2 .O/G9103Y12BAH
ENDADL

Cancelling onward semgent not reflected in ADL - NOT OK

Remove pax - group code not reflected - NOT OK

ADL
G9146/11JUL JED PART1
-SHJ11Y
DEL
1DHONI/MAHENDRASINGHMR .L/17174160 .O/G9103Y12BAH
ENDADL

After deleting Pax VITORY/DENIEL - NOT OK (Group code reflected)

ADL
G9146/11JUL JED PART1
-SHJ10Y
DEL
1VITORY/DANIELMR .L/17174161
ENDADL

Name change of booking having single surname - OK

ADL
G9146/11JUL JED PART1
-SHJ10Y
ADD
2PERERA/NIHALMR/NIMALIMS .L/17174144
DEL
2PERERA/SUNILMR/NIMALIMS .L/17174144
ENDADL

Remove pax of a booking having single surname - OK

ADL
G9146/11JUL JED PART1
-SHJ09Y
DEL
1PERERA/NIMALIMS .L/17174162
ENDADL

Add Infant - OK?

ADL
G9146/11JUL JED PART1
-SHJ09Y
CHG
1PERERA/NIHALMR .L/17174144 .R/1INF BABY
ENDADL

Create new reservation - OK

ADL
G9146/11JUL JED PART1
-SHJ12Y
ADD
1CHANDRAPAUL/JUNIORCHD-J3 .L/17174168
1GAYLE/CRISMR-J3
1SARWAN/RAMESHMR-J3
ENDADL

Add segment (when there are no other modifications on PNR) - OK

ADL
G9146/11JUL JED PART1
-SHJ12Y
CHG
1CHANDRAPAUL/JUNIORCHD-J3 .L/17174168 .O/G9115Y12MCT
1GAYLE/CRISMR-J3 .O/G9115Y12MCT
1SARWAN/RAMESHMR-J3 .O/G9115Y12MCT
ENDADL

Name Change - NOT OK (Wrong group code, non name changed pax also appear)

ADL
G9146/11JUL JED PART1
-SHJ12Y
ADD
1CHANDRAPAUL/JUNIORCHD .L/17174168 .O/G9115Y12MCT
1GAYLE/CRISMR .L/17174168 .O/G9115Y12MCT
1SARWAN/RAMANARAYANMR .L/17174168 .O/G9115Y12MCT
DEL
1CHANDRAPAUL/JUNIORCHD-3 .L/17174168
1GAYLE/CRISMR-3 .L/17174168
1SARWAN/RAMESHMR-3 .L/17174168
ENDADL

Add segment, after a name change - NOT OK (new group code generated)

ADL
G9146/11JUL JED PART1
-SHJ12Y
CHG
1CHANDRAPAUL/JUNIORCHD-L3 .L/17174168 .O/G9115Y12MCT
.O2/G9116Y13SHJ
1GAYLE/CRISMR-L3 .O/G9115Y12MCT .O2/G9116Y13SHJ
1SARWAN/RAMANARAYANMR-L3 .O/G9115Y12MCT .O2/G9116Y13SHJ
ENDADL


",Default,,,,,,,,,,,,,Support,,,,,,ISA
AccelAero Reservations,AARESAA-1686,AARESAA-1538 PENDING WORK IN PNL/ADL,SubTask - Support Task,Open,Major,Unresolved,TBA,XEMP -Byorn De Silva,2009-03-25 05:08:00,,2011-03-09 13:09:00,,,,,,0.0,0.0,,,,,,,,,"(1)
Add infant works according to IATA.
remove infant - after pnl sent, - doesnt appear accordingly.

(2)
When doing a name change scenario for a group reservation, 
the deletion should have the original tour code.
this is saved int the t_pnl_passenger table.

(3) modify segment after the pnl has been sent.
this doesnt cause a deletion in the pnl.

note: since modifications are not allowed within buffer time, these issues are not extremely critical.",Default,,,,,,,,,,,,,Improvement,,,,,,ISA
AccelAero Reservations,AARESAA-3500,ISA-#4681 PNL/ADL transmission failure notification,Support Task,Closed,Major,Fixed,Indika Athauda,XEMP - Nadeem Badri,2009-12-17 07:46:00,,2009-12-28 03:26:00,2009-12-27 10:27:00,,,,,0.0,0.0,,,,,,,,,PNL/ADL Transmission Failure for G9 102 dept BAH for 17Dec 09,Default,,,,,,,,,,,,,Customer specific support,,,,,,G9 - Air Arabia
AccelAero Reservations,AARESAA-3519,Enable PNL/ADL sending for 5H flights,Support Task,Closed,Major,Fixed,QACOMPLETED,XEMP - Charith Paranaliyanage,2009-12-21 07:53:00,,2012-01-06 20:24:00,2009-12-27 10:16:00,,"AA-G9-014.0 , AA-3O-005.0",,,0.0,0.0,,,,,,,,,"Enabled PNL/ADL delivery for 5H flights on 08th December 2009.

Introduced new app parameter AIRLINE_51 to set Carriers to send PNL/ADL",Default,,,,,,,,,,,,,Support,,,,,,G9 - Air Arabia
AccelAero Reservations,AARESAA-817,AARESAA-781 Admin - PNL/ADL Testing in RAK Set up,SubTask - Task,Closed,Major,Fixed,XTEAM - Duminda Anuradha,XEMP-Janaki Kalatuwawa,2008-10-28 12:45:00,,2009-02-02 12:18:00,2008-11-18 10:24:00,,AA-RT-001.1,,,0.0,0.0,,,,,,,,,"Test the PNL/ADL from Scheduler and Manual screen.

During training, manual PNL creation failed.",Default,,,,,,,,,,,,,Support,,,,,2008-10-31 22:18:00,RT - RAK Airways
AccelAero Reservations,AARESAA-2800,AARESAA-2373 Multiple SSR per PAX - PNL/ADL Changes,SubTask - Change Request,Closed,Blocker,Fixed,QACOMPLETED,XTEAM - Duminda Anuradha,2009-08-27 04:33:00,,2012-01-06 20:23:00,2009-10-21 02:16:00,,"AA-G9-012.0 , AA-G9M-003.0","Agents, Callcentre, IBE",,0.0,0.0,_thumb_10704.png ,,,,,,,,"HALA services SSR's would not be included in the PNL/ADL.

But after multiple SSR per pax implemented, ensure that SSR, PSPT and Eitket details correctly integrated in PNL/ADL.


",Default,,,,,,,,,,,,,Customer Specific Customization,,,,,2009-10-04 23:30:00,G9 - Air Arabia
AccelAero Reservations,AARESAA-444,AARESAA-431 PNL/ADL Scheduler Jobs - Configurations to email,SubTask - Task,Closed,Critical,Fixed,QACOMPLETED,XEMP -Nuwan Bandara,2008-06-24 10:57:00,,2008-09-25 10:32:00,2008-08-01 09:21:00,,,,,0.0,0.0,,,,,,,,,"PNL Scheduler Job: -
If any email addresses defined against the airport, PNL should be sent to these mail id's in addition to the SITA addresses.

ADL Scheduler Job: -
If any email addresses defined against the airport, ADL should be sent to these mail id's in addition to the SITA addresses.
",Default,,,,,,,,,,,,,Product Enhancement,,,,,,IA - Jupiter Airlines
AccelAero Reservations,AARESAA-120,Scheduled Jobs - PNL/ADL - Investigate flyyeti failure,Bug,Closed,Major,Fixed,XEMP -Byorn De Silva,XEMP-Mohamed Nasly,2008-04-01 05:00:00,,2008-05-27 12:46:00,2008-04-03 07:36:00,,,,,0.0,0.0,,,,,,,,,"PNL/ADL sending process for flyyeti have been generating numerous error alert emails since yesterday for PNL/ADL sending for SHJ airport.

Please investigate what causing this. Recent manual updating of flight timings might have a say here.",Default,,,,,,,,,,,,,Support,,,XEMP-Mohamed Nasly,,2008-04-01 18:00:00,OY - Yeti International
